NAME,SUBSCRIPTION,RESOURCE GROUP,LOCATION,STATUS,OPERATING SYSTEM,SIZE,PUBLIC IP ADDRESS,DISKS,UPDATE STATUS
"fortigateB","DsiTier0","INFRA-NETWORK-RG","West Europe","Running","Linux","Standard_F8s","52.157.233.150","2","{""text"":""Enable periodic assessment"",""blade"":""UpdateCenterUpdateSettingsBlade"",""extension"":""Microsoft_Azure_Automation"",""parameters"":{""ids"":[""/subscriptions/c704e378-20de-426d-af3d-6ef10c3545f0/resourcegroups/infra-network-rg/providers/microsoft.compute/virtualmachines/fortigateb""],""source"":""VirtualMachines_BrowseResourceBlade""}}"
"fortigateTest","DsiTier0","FORTIGATETEST-RG","West Europe","Stopped (deallocated)","Linux","Standard_F8s_v2"," -","2","{""text"":""Enable periodic assessment"",""blade"":""UpdateCenterUpdateSettingsBlade"",""extension"":""Microsoft_Azure_Automation"",""parameters"":{""ids"":[""/subscriptions/c704e378-20de-426d-af3d-6ef10c3545f0/resourcegroups/fortigatetest-rg/providers/microsoft.compute/virtualmachines/fortigatetest""],""source"":""VirtualMachines_BrowseResourceBlade""}}"
"fortiweb-0","DsiDmz01","INFRA-NETWORK-RG","West Europe","Running","Linux","Standard_F4s"," -","2","{""text"":""Enable periodic assessment"",""blade"":""UpdateCenterUpdateSettingsBlade"",""extension"":""Microsoft_Azure_Automation"",""parameters"":{""ids"":[""/subscriptions/05509e54-c22d-42ec-ae15-948a48340383/resourcegroups/infra-network-rg/providers/microsoft.compute/virtualmachines/fortiweb-0""],""source"":""VirtualMachines_BrowseResourceBlade""}}"
"fortiweb-1","DsiDmz01","INFRA-NETWORK-RG","West Europe","Running","Linux","Standard_F4s"," -","2","{""text"":""Enable periodic assessment"",""blade"":""UpdateCenterUpdateSettingsBlade"",""extension"":""Microsoft_Azure_Automation"",""parameters"":{""ids"":[""/subscriptions/05509e54-c22d-42ec-ae15-948a48340383/resourcegroups/infra-network-rg/providers/microsoft.compute/virtualmachines/fortiweb-1""],""source"":""VirtualMachines_BrowseResourceBlade""}}"
"fortiweb-acc-dev","DsiTier0","INFRA-NETWORK-RG","West Europe","Running","Linux","Standard_d2s_v3"," -","2","{""text"":""Enable periodic assessment"",""blade"":""UpdateCenterUpdateSettingsBlade"",""extension"":""Microsoft_Azure_Automation"",""parameters"":{""ids"":[""/subscriptions/c704e378-20de-426d-af3d-6ef10c3545f0/resourcegroups/infra-network-rg/providers/microsoft.compute/virtualmachines/fortiweb-acc-dev""],""source"":""VirtualMachines_BrowseResourceBlade""}}"
"lxacepegra01","CspAcc01","RGACEPEGRA","West Europe","Running","Linux","Standard_D2s_v3"," -","1","{""text"":""Enable periodic assessment"",""blade"":""UpdateCenterUpdateSettingsBlade"",""extension"":""Microsoft_Azure_Automation"",""parameters"":{""ids"":[""/subscriptions/9c9cb071-ac7c-45be-8105-4f4eb5f8e672/resourcegroups/rgacepegra/providers/microsoft.compute/virtualmachines/lxacepegra01""],""source"":""VirtualMachines_BrowseResourceBlade""}}"
"lxaceph2n1.azure.forem.be","DsiAcc01","rgaceph","West Europe","Running","Linux","Standard_D2s_v5"," -","2","{""text"":""Enable periodic assessment"",""blade"":""UpdateCenterUpdateSettingsBlade"",""extension"":""Microsoft_Azure_Automation"",""parameters"":{""ids"":[""/subscriptions/cbf821af-139f-472b-bd9f-bd9e7c82395c/resourcegroups/rgaceph/providers/microsoft.compute/virtualmachines/lxaceph2n1.azure.forem.be""],""source"":""VirtualMachines_BrowseResourceBlade""}}"
"lxaceph2n2.azure.forem.be","DsiAcc01","RGACEPH","West Europe","Running","Linux","Standard_D2s_v5"," -","2","{""text"":""Enable periodic assessment"",""blade"":""UpdateCenterUpdateSettingsBlade"",""extension"":""Microsoft_Azure_Automation"",""parameters"":{""ids"":[""/subscriptions/cbf821af-139f-472b-bd9f-bd9e7c82395c/resourcegroups/rgaceph/providers/microsoft.compute/virtualmachines/lxaceph2n2.azure.forem.be""],""source"":""VirtualMachines_BrowseResourceBlade""}}"
"lxaceph2n3.azure.forem.be","DsiAcc01","rgaceph","West Europe","Running","Linux","Standard_D2s_v5"," -","2","{""text"":""Enable periodic assessment"",""blade"":""UpdateCenterUpdateSettingsBlade"",""extension"":""Microsoft_Azure_Automation"",""parameters"":{""ids"":[""/subscriptions/cbf821af-139f-472b-bd9f-bd9e7c82395c/resourcegroups/rgaceph/providers/microsoft.compute/virtualmachines/lxaceph2n3.azure.forem.be""],""source"":""VirtualMachines_BrowseResourceBlade""}}"
"lxaconfluence1.azure.forem.be","CspAcc01","rgaatlassian","West Europe","Running","Linux","Standard_D2s_v5"," -","1","{""text"":""Enable periodic assessment"",""blade"":""UpdateCenterUpdateSettingsBlade"",""extension"":""Microsoft_Azure_Automation"",""parameters"":{""ids"":[""/subscriptions/9c9cb071-ac7c-45be-8105-4f4eb5f8e672/resourcegroups/rgaatlassian/providers/microsoft.compute/virtualmachines/lxaconfluence1.azure.forem.be""],""source"":""VirtualMachines_BrowseResourceBlade""}}"
